server_type,num_clients,rep,cpu,vmrss,vmsize,pss,conns
fork,10,1,3.96,2228,29656,822,10
fork,10,2,2.97,2152,29656,830,10
fork,10,3,3.96,2152,29656,856,10
fork,20,1,12.67,3144,56616,1355,20
fork,20,2,8.17,3108,56616,1271,20
fork,20,3,7.16,3144,56616,1374,20
fork,30,1,9.75,4024,83576,1927,30
fork,30,2,8.12,3972,83576,1900,30
fork,30,3,10.08,4688,83576,1931,30
fork,40,1,21.56,5020,110536,2426,40
fork,40,2,12.89,5532,110536,2465,40
fork,40,3,14.47,5528,110536,2465,40
fork,50,1,17.22,6488,137496,3012,50
fork,50,2,15.27,6460,137496,2962,50
fork,50,3,15.23,6480,137496,3010,50
thread,10,1,4.33,1100,740012,366,10
thread,10,2,5.32,3200,740012,2395,10
thread,10,3,4.66,3240,740012,2396,10
thread,20,1,8.98,5244,1477332,4621,20
thread,20,2,12.14,5184,1477332,4622,20
thread,20,3,9.98,5280,1477332,4631,20
thread,30,1,16.64,7244,2214652,6854,30
thread,30,2,14.98,9344,2214652,8887,30
thread,30,3,14.64,9384,2214652,8889,30
thread,40,1,24.29,11432,2951972,11121,40
thread,40,2,20.63,11432,2951972,11118,40
thread,40,3,19.30,11464,2951972,11119,40
thread,50,1,24.95,16112,3689292,15387,50
thread,50,2,29.58,14156,3689292,13357,50
thread,50,3,26.61,16156,3689292,15384,50
epoll,10,1,2.66,1216,2688,165,10
epoll,10,2,2.66,1224,2688,163,10
epoll,10,3,2.00,1152,2688,160,10
epoll,20,1,5.32,1072,2688,153,20
epoll,20,2,5.32,1092,2688,151,20
epoll,20,3,6.17,1172,2688,157,20
epoll,30,1,6.99,1224,2688,145,30
epoll,30,2,6.98,1224,2688,149,30
epoll,30,3,5.99,1224,2688,150,30
epoll,40,1,8.97,1100,2688,146,40
epoll,40,2,8.98,1096,2688,146,40
epoll,40,3,10.31,1148,2688,142,40
epoll,50,1,13.30,1072,2688,138,50
epoll,50,2,11.98,1224,2688,144,50
epoll,50,3,13.98,1140,2688,141,50
